% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      418                      1.3640634463386465E-7
0.5                      419                      1.3614289176841683E-7
0.5                      420                      1.3588043311283422E-7
0.5                      421                      1.3561896866711673E-7
0.5                      422                      1.3535849843126436E-7
0.5                      423                      1.3509902240527709E-7
0.5                      424                      1.3484054058915497E-7
0.5                      425                      1.3458305298289808E-7
0.5                      426                      1.3432655958650636E-7
0.5                      427                      1.340710603999796E-7
0.5                      428                      1.3381655542331812E-7
0.5                      429                      1.3356304465652165E-7
0.5                      430                      1.3331052809959046E-7
0.5                      431                      1.3305900575252436E-7
0.5                      432                      1.3280847761532345E-7
0.5                      433                      1.3255894368798758E-7
0.5                      434                      1.3231040397051688E-7
0.5                      435                      1.3206285846291142E-7
0.5                      436                      1.3181630716517094E-7
0.5                      437                      1.3157075007729567E-7
0.5                      438                      1.3132618719928556E-7
0.5                      439                      1.3108261853114064E-7
0.5                      440                      1.3084004407286077E-7
0.5                      441                      1.3059846382444607E-7
0.5                      442                      1.303578777858965E-7
0.5                      443                      1.3011828595721208E-7
0.5                      444                      1.2987968833839281E-7
0.5                      445                      1.2964208492943864E-7
0.5                      446                      1.2940547573034967E-7
0.5                      447                      1.2916986074112588E-7
0.5                      448                      1.2893523996176714E-7
0.5                      449                      1.2870161339227354E-7
0.5                      450                      1.2846898103264507E-7
0.5                      451                      1.2823734288288183E-7
0.5                      452                      1.280066989429836E-7
0.5                      453                      1.277769503402644E-7
0.5                      454                      1.2754363758828932E-7
0.5                      455                      1.2731111081989716E-7
0.5                      456                      1.2707937003508788E-7
0.5                      457                      1.268484152338616E-7
0.5                      458                      1.266182464162181E-7
0.5                      459                      1.263888635821576E-7
0.5                      460                      1.2616026673167998E-7
0.5                      461                      1.2593245586478533E-7
0.5                      462                      1.2570543098147362E-7
0.5                      463                      1.254791920817447E-7
0.5                      464                      1.2525373916559886E-7
0.5                      465                      1.2502907223303586E-7
0.5                      466                      1.2480519128405577E-7
0.5                      467                      1.245820963186587E-7
0.5                      468                      1.243597873368444E-7
0.5                      469                      1.2413826433861307E-7
0.5                      470                      1.2391752732396463E-7
0.5                      471                      1.2369757629289923E-7
0.5                      472                      1.2347841124541662E-7
0.5                      473                      1.23260032181517E-7
0.5                      474                      1.2304243910120032E-7
0.5                      475                      1.228256320044665E-7
0.5                      476                      1.2260961089131562E-7
0.5                      477                      1.223943757617477E-7
0.5                      478                      1.221799266157626E-7
0.5                      479                      1.2196626345336046E-7
0.5                      480                      1.217533862745413E-7
0.5                      481                      1.2154129507930505E-7
0.5                      482                      1.2132998986765174E-7
0.5                      483                      1.2111947063958126E-7
0.5                      484                      1.2090973739509371E-7
0.5                      485                      1.2070079013418915E-7
0.5                      486                      1.2049262885686747E-7
0.5                      487                      1.202852535631287E-7
0.5                      488                      1.2007866425297285E-7
0.5                      489                      1.1987286092639996E-7
0.5                      490                      1.1966784358340993E-7
0.5                      491                      1.1946361222400285E-7
0.5                      492                      1.192601668481787E-7
0.5                      493                      1.1905750745593747E-7
0.5                      494                      1.1885563404727913E-7
0.5                      495                      1.1865454662220373E-7
0.5                      496                      1.1845424518071125E-7
0.5                      497                      1.182547297228017E-7
0.5                      498                      1.1805600024847505E-7
0.5                      499                      1.1785805675773134E-7
0.5                      500                      1.1766089925057055E-7
0.5                      501                      1.1746452772699263E-7
0.5                      502                      1.1726894218699772E-7
0.5                      503                      1.1707414263058566E-7
0.5                      504                      1.1688012905775655E-7
0.5                      505                      1.1668690146851031E-7
0.5                      506                      1.1649445986284705E-7
0.5                      507                      1.163028042407667E-7
0.5                      508                      1.1611193460226918E-7
0.5                      509                      1.1592185094735469E-7
0.5                      510                      1.1573255327602313E-7
0.5                      511                      1.155440415882744E-7
0.5                      512                      1.1535631588410869E-7
0.5                      513                      1.1516937616352582E-7
0.5                      514                      1.1498322242652589E-7
0.5                      515                      1.1479785467310887E-7
0.5                      516                      1.1461327290327476E-7
0.5                      517                      1.1442947711702365E-7
0.5                      518                      1.142464673143554E-7
0.5                      519                      1.1406424349527005E-7
0.5                      520                      1.1388280565976763E-7
0.5                      521                      1.137021538078482E-7
0.5                      522                      1.1352228793951158E-7
0.5                      523                      1.1334320805475799E-7
0.5                      524                      1.1316491415358723E-7
0.5                      525                      1.129874062359994E-7
0.5                      526                      1.1281068430199453E-7
0.5                      527                      1.1263474835157258E-7
0.5                      528                      1.1245959838473353E-7
0.5                      529                      1.1228523440147737E-7
0.5                      530                      1.121116564018042E-7
0.5                      531                      1.1193886438571387E-7
0.5                      532                      1.1176685835320652E-7
0.5                      533                      1.1159563830428205E-7
0.5                      534                      1.1142520423894051E-7
0.5                      535                      1.1125555615718191E-7
0.5                      536                      1.110866940590062E-7
0.5                      537                      1.1091861794441347E-7
0.5                      538                      1.1075132781340361E-7
0.5                      539                      1.1058482366597665E-7
0.5                      540                      1.1041910550213269E-7
0.5                      541                      1.1024347380599528E-7
0.5                      542                      1.1006239816507824E-7
0.5                      543                      1.098817308945576E-7
0.5                      544                      1.0970147199443341E-7
0.5                      545                      1.0952162146470563E-7
0.5                      546                      1.0934217930537433E-7
0.5                      547                      1.0916314551643955E-7
0.5                      548                      1.0898452009790117E-7
0.5                      549                      1.0880630304975924E-7
0.5                      550                      1.0862849437201378E-7
0.5                      551                      1.0845109406466474E-7
0.5                      552                      1.082741021277122E-7
0.5                      553                      1.0809751856115609E-7
0.5                      554                      1.0792134336499647E-7
0.5                      555                      1.0774557653923327E-7
0.5                      556                      1.0757021808386653E-7
0.5                      557                      1.073952679988963E-7
0.5                      558                      1.0722072628432245E-7
0.5                      559                      1.0704659294014505E-7
0.5                      560                      1.0687286796636415E-7
0.5                      561                      1.0669955136297963E-7
0.5                      562                      1.0652664312999163E-7
0.5                      563                      1.0635414326740013E-7
0.5                      564                      1.06182051775205E-7
0.5                      565                      1.0601036865340633E-7
0.5                      566                      1.0583909390200416E-7
0.5                      567                      1.0566822752099839E-7
0.5                      568                      1.0549776951038913E-7
0.5                      569                      1.0532771987017628E-7
0.5                      570                      1.0515807860035993E-7
0.5                      571                      1.0498884570094003E-7
0.5                      572                      1.0482002117191656E-7
0.5                      573                      1.0465160501328954E-7
0.5                      574                      1.04483597225059E-7
0.5                      575                      1.0431599780722488E-7
0.5                      576                      1.0414880675978724E-7
0.5                      577                      1.0398202408274607E-7
0.5                      578                      1.0381564977610131E-7
0.5                      579                      1.0364968383985299E-7
0.5                      580                      1.0348412627400117E-7
0.5                      581                      1.0331897707854585E-7
0.5                      582                      1.0315423625348689E-7
