% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     517                      1.7392200799718394E-4
0.02                     518                      1.7376790975495487E-4
0.02                     519                      1.736138166478962E-4
0.02                     520                      1.7345972886864143E-4
0.02                     521                      1.7330563823625736E-4
0.02                     522                      1.7315154475074405E-4
0.02                     523                      1.729974484121011E-4
0.02                     524                      1.728433492203288E-4
0.02                     525                      1.7268924717542706E-4
0.02                     526                      1.7253514227739597E-4
0.02                     527                      1.7238105300834507E-4
0.02                     528                      1.7222697890869874E-4
0.02                     529                      1.7207290912780115E-4
0.02                     530                      1.7191884366565225E-4
0.02                     531                      1.717647825222522E-4
0.02                     532                      1.716107256976009E-4
0.02                     533                      1.7145667319169825E-4
0.02                     534                      1.7130262500454464E-4
0.02                     535                      1.7114860000642766E-4
0.02                     536                      1.709945964972748E-4
0.02                     537                      1.7084060435765998E-4
0.02                     538                      1.7068662358758345E-4
0.02                     539                      1.7053265418704523E-4
0.02                     540                      1.703786961560452E-4
0.02                     541                      1.7022474949458317E-4
0.02                     542                      1.7007081420265962E-4
0.02                     543                      1.6991690976091693E-4
0.02                     544                      1.6976303322851894E-4
0.02                     545                      1.69609175082892E-4
0.02                     546                      1.6945533532403557E-4
0.02                     547                      1.6930151395195007E-4
0.02                     548                      1.6914771096663547E-4
0.02                     549                      1.689939263680915E-4
0.02                     550                      1.6884016015631848E-4
0.02                     551                      1.6868643221954485E-4
0.02                     552                      1.685327384230464E-4
0.02                     553                      1.6837906992769636E-4
0.02                     554                      1.6822542673349452E-4
0.02                     555                      1.6807180884044118E-4
0.02                     556                      1.6791821624853603E-4
0.02                     557                      1.6776464895777932E-4
0.02                     558                      1.6761110696817088E-4
0.02                     559                      1.6745761042454225E-4
0.02                     560                      1.673041540636246E-4
0.02                     561                      1.671507297705229E-4
