% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  457                      1.4547097783979914E-7
1.0E-14                  458                      1.4520060875358392E-7
1.0E-14                  459                      1.4493135025016926E-7
1.0E-14                  460                      1.446632023295551E-7
1.0E-14                  461                      1.4439616499174154E-7
1.0E-14                  462                      1.4413023823672855E-7
1.0E-14                  463                      1.4386542206451616E-7
1.0E-14                  464                      1.436017164751043E-7
1.0E-14                  465                      1.4333912146849297E-7
1.0E-14                  466                      1.4307763704468222E-7
1.0E-14                  467                      1.4281726320367214E-7
1.0E-14                  468                      1.4255799994546249E-7
1.0E-14                  469                      1.4229984727005342E-7
1.0E-14                  470                      1.42042805177445E-7
1.0E-14                  471                      1.4178687366763707E-7
1.0E-14                  472                      1.4153205274062978E-7
1.0E-14                  473                      1.4127834239642299E-7
1.0E-14                  474                      1.410257426350168E-7
1.0E-14                  475                      1.4077425345641114E-7
1.0E-14                  476                      1.40523874860606E-7
1.0E-14                  477                      1.402746068476015E-7
1.0E-14                  478                      1.400264494173976E-7
1.0E-14                  479                      1.3977940256999417E-7
1.0E-14                  480                      1.3953346630539136E-7
1.0E-14                  481                      1.39288640623589E-7
1.0E-14                  482                      1.390449255245874E-7
1.0E-14                  483                      1.388023210083863E-7
1.0E-14                  484                      1.3856082707498568E-7
1.0E-14                  485                      1.383204437243856E-7
1.0E-14                  486                      1.3808117095658622E-7
1.0E-14                  487                      1.3784300877158735E-7
1.0E-14                  488                      1.37605957169389E-7
1.0E-14                  489                      1.3736138360402263E-7
1.0E-14                  490                      1.3711516716622872E-7
1.0E-14                  491                      1.3686978726942186E-7
1.0E-14                  492                      1.3662524391360206E-7
1.0E-14                  493                      1.3638153709876936E-7
1.0E-14                  494                      1.3613866682492375E-7
1.0E-14                  495                      1.358966330920652E-7
1.0E-14                  496                      1.3565543590019374E-7
1.0E-14                  497                      1.3541507524930938E-7
1.0E-14                  498                      1.3517555113941213E-7
1.0E-14                  499                      1.349368635705019E-7
1.0E-14                  500                      1.3469901254257873E-7
1.0E-14                  501                      1.344619980556427E-7
1.0E-14                  502                      1.3422582010969374E-7
1.0E-14                  503                      1.3399047870473187E-7
1.0E-14                  504                      1.3375597384075707E-7
1.0E-14                  505                      1.3352230551776937E-7
1.0E-14                  506                      1.3328947373576873E-7
1.0E-14                  507                      1.3305747849475519E-7
1.0E-14                  508                      1.3282631979472874E-7
1.0E-14                  509                      1.3259599763568933E-7
1.0E-14                  510                      1.32366512017637E-7
1.0E-14                  511                      1.3213786294057177E-7
1.0E-14                  512                      1.3191005040449364E-7
1.0E-14                  513                      1.3168307440940253E-7
