% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  355                      1.9021876924399758E-7
1.0E-12                  356                      1.8980358875246996E-7
1.0E-12                  357                      1.8939066773913634E-7
1.0E-12                  358                      1.8898000620399662E-7
1.0E-12                  359                      1.8857160414705082E-7
1.0E-12                  360                      1.8816528291183084E-7
1.0E-12                  361                      1.8775616667949247E-7
1.0E-12                  362                      1.8734891300101035E-7
1.0E-12                  363                      1.869435218763843E-7
1.0E-12                  364                      1.8653999330561444E-7
1.0E-12                  365                      1.8613832728870077E-7
1.0E-12                  366                      1.8573852382564326E-7
1.0E-12                  367                      1.8534058291644193E-7
1.0E-12                  368                      1.8494450456109672E-7
1.0E-12                  369                      1.8455028875960772E-7
1.0E-12                  370                      1.841579355119748E-7
1.0E-12                  371                      1.8376744481819815E-7
1.0E-12                  372                      1.8337881667827758E-7
1.0E-12                  373                      1.8299205109221328E-7
1.0E-12                  374                      1.82607148060005E-7
1.0E-12                  375                      1.822241075816531E-7
1.0E-12                  376                      1.8184292965715717E-7
1.0E-12                  377                      1.8146361428651746E-7
1.0E-12                  378                      1.8108616146973394E-7
1.0E-12                  379                      1.8071057120680652E-7
1.0E-12                  380                      1.803368434977353E-7
1.0E-12                  381                      1.7996497834252033E-7
1.0E-12                  382                      1.7959497574116148E-7
1.0E-12                  383                      1.7922683569365874E-7
1.0E-12                  384                      1.7886055820001218E-7
1.0E-12                  385                      1.7849614326022178E-7
1.0E-12                  386                      1.7813052753100173E-7
1.0E-12                  387                      1.7776541087679044E-7
1.0E-12                  388                      1.7740183799879373E-7
1.0E-12                  389                      1.7703980889701164E-7
1.0E-12                  390                      1.7667932357144384E-7
1.0E-12                  391                      1.763203820220906E-7
1.0E-12                  392                      1.7596298424895184E-7
1.0E-12                  393                      1.756071302520276E-7
1.0E-12                  394                      1.7525282003131785E-7
1.0E-12                  395                      1.7490005358682246E-7
1.0E-12                  396                      1.7454883091854175E-7
1.0E-12                  397                      1.7419915202647534E-7
1.0E-12                  398                      1.7385101691062354E-7
1.0E-12                  399                      1.7350442557098615E-7
1.0E-12                  400                      1.7315937800756328E-7
1.0E-12                  401                      1.7281587422035493E-7
1.0E-12                  402                      1.7247391420936091E-7
1.0E-12                  403                      1.721334979745815E-7
1.0E-12                  404                      1.7179462551601668E-7
1.0E-12                  405                      1.7145729683366612E-7
1.0E-12                  406                      1.7112151192753018E-7
1.0E-12                  407                      1.7078727079760874E-7
1.0E-12                  408                      1.7045457344390174E-7
1.0E-12                  409                      1.7012341986640915E-7
1.0E-12                  410                      1.6979381006513113E-7
1.0E-12                  411                      1.6946350864352937E-7
1.0E-12                  412                      1.691316319512613E-7
1.0E-12                  413                      1.688009050226709E-7
1.0E-12                  414                      1.684713278577585E-7
1.0E-12                  415                      1.6814290045652377E-7
1.0E-12                  416                      1.678156228189668E-7
1.0E-12                  417                      1.6748949494508777E-7
1.0E-12                  418                      1.6716451683488646E-7
1.0E-12                  419                      1.6684068848836292E-7
1.0E-12                  420                      1.6651800990551725E-7
1.0E-12                  421                      1.6619648108634936E-7
1.0E-12                  422                      1.6587610203085928E-7
1.0E-12                  423                      1.6555687273904688E-7
1.0E-12                  424                      1.652387932109124E-7
1.0E-12                  425                      1.6492186344645575E-7
1.0E-12                  426                      1.646060834456769E-7
1.0E-12                  427                      1.6429145320857586E-7
1.0E-12                  428                      1.639779727351525E-7
1.0E-12                  429                      1.6366564202540702E-7
1.0E-12                  430                      1.633544610793393E-7
1.0E-12                  431                      1.6304442989694945E-7
1.0E-12                  432                      1.6273554847823733E-7
1.0E-12                  433                      1.6242781682320305E-7
1.0E-12                  434                      1.621212349318466E-7
1.0E-12                  435                      1.618158028041679E-7
1.0E-12                  436                      1.6151152044016708E-7
1.0E-12                  437                      1.6120838783984396E-7
1.0E-12                  438                      1.6090640500319865E-7
1.0E-12                  439                      1.6060557193023118E-7
1.0E-12                  440                      1.6030588862094145E-7
