% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  358                      4.307344476657783E-5
1.0E-11                  359                      4.274368648441261E-5
1.0E-11                  360                      4.241535491129147E-5
1.0E-11                  361                      4.208845004721439E-5
1.0E-11                  362                      4.176297189218135E-5
1.0E-11                  363                      4.1438932537398313E-5
1.0E-11                  364                      4.111636926861097E-5
1.0E-11                  365                      4.079524798864723E-5
1.0E-11                  366                      4.0475568697507016E-5
1.0E-11                  367                      4.015733139519038E-5
1.0E-11                  368                      3.98405360816973E-5
1.0E-11                  369                      3.9525182757027785E-5
1.0E-11                  370                      3.921130659819167E-5
1.0E-11                  371                      3.889890360630206E-5
1.0E-11                  372                      3.8587957542285536E-5
1.0E-11                  373                      3.827846840614208E-5
1.0E-11                  374                      3.797043619787172E-5
1.0E-11                  375                      3.7663860917474404E-5
1.0E-11                  376                      3.7358745840539845E-5
1.0E-11                  377                      3.7055138703549667E-5
1.0E-11                  378                      3.6753002556391255E-5
1.0E-11                  379                      3.6452337399064616E-5
1.0E-11                  380                      3.6153143231569716E-5
1.0E-11                  381                      3.58554200539066E-5
1.0E-11                  382                      3.555916786607525E-5
1.0E-11                  383                      3.5264408521757594E-5
1.0E-11                  384                      3.497115242406219E-5
1.0E-11                  385                      3.467937996035336E-5
1.0E-11                  386                      3.438909113063109E-5
1.0E-11                  387                      3.410028593489536E-5
1.0E-11                  388                      3.3812964373146194E-5
1.0E-11                  389                      3.352712644538359E-5
1.0E-11                  390                      3.32428085858916E-5
1.0E-11                  391                      3.2959988284796746E-5
1.0E-11                  392                      3.267866233603118E-5
1.0E-11                  393                      3.239883073959495E-5
1.0E-11                  394                      3.2120493495488015E-5
1.0E-11                  395                      3.1843650603710385E-5
1.0E-11                  396                      3.156831148133666E-5
1.0E-11                  397                      3.1294491656440856E-5
1.0E-11                  398                      3.1022174529797775E-5
1.0E-11                  399                      3.075136010140743E-5
1.0E-11                  400                      3.0482048371269837E-5
1.0E-11                  401                      3.0214239339385E-5
1.0E-11                  402                      2.9947933005752897E-5
1.0E-11                  403                      2.968314464056048E-5
1.0E-11                  404                      2.9419869064356955E-5
1.0E-11                  405                      2.915810177728203E-5
1.0E-11                  406                      2.8897842779335704E-5
1.0E-11                  407                      2.8639092070517973E-5
1.0E-11                  408                      2.8381849650828838E-5
1.0E-11                  409                      2.8126116911703898E-5
1.0E-11                  410                      2.7871900992139035E-5
1.0E-11                  411                      2.761919587038747E-5
1.0E-11                  412                      2.7368001546449153E-5
1.0E-11                  413                      2.7118318020324115E-5
1.0E-11                  414                      2.687014529201236E-5
1.0E-11                  415                      2.6623483361513862E-5
1.0E-11                  416                      2.637833044804875E-5
1.0E-11                  417                      2.6134686385726123E-5
1.0E-11                  418                      2.5892552269011483E-5
1.0E-11                  419                      2.565192809790484E-5
1.0E-11                  420                      2.5412813872406172E-5
1.0E-11                  421                      2.517520959251553E-5
1.0E-11                  422                      2.4939115225987856E-5
1.0E-11                  423                      2.4704514019884097E-5
1.0E-11                  424                      2.4471418325311457E-5
1.0E-11                  425                      2.4239828142269908E-5
1.0E-11                  426                      2.400974347075947E-5
1.0E-11                  427                      2.378116431078013E-5
1.0E-11                  428                      2.3554090662331875E-5
1.0E-11                  429                      2.3328510499923727E-5
1.0E-11                  430                      2.3104413520708325E-5
1.0E-11                  431                      2.2881813896165528E-5
1.0E-11                  432                      2.2660711626295394E-5
1.0E-11                  433                      2.244110671109789E-5
1.0E-11                  434                      2.2222999150573013E-5
1.0E-11                  435                      2.2006388944720776E-5
1.0E-11                  436                      2.1791238878722855E-5
1.0E-11                  437                      2.157756809243249E-5
1.0E-11                  438                      2.1365382720544207E-5
1.0E-11                  439                      2.115468276305797E-5
1.0E-11                  440                      2.094546821997383E-5
1.0E-11                  441                      2.0737739091291747E-5
1.0E-11                  442                      2.0531481461057997E-5
1.0E-11                  443                      2.032665950647736E-5
1.0E-11                  444                      2.012330724680147E-5
1.0E-11                  445                      1.992142468203031E-5
1.0E-11                  446                      1.9721011812163897E-5
1.0E-11                  447                      1.9522068637202222E-5
1.0E-11                  448                      1.9324595157145273E-5
1.0E-11                  449                      1.9128543573050904E-5
1.0E-11                  450                      1.8933922653956126E-5
1.0E-11                  451                      1.874075199754059E-5
1.0E-11                  452                      1.8549031603804268E-5
1.0E-11                  453                      1.8358761472747178E-5
1.0E-11                  454                      1.8169941604369306E-5
1.0E-11                  455                      1.7982564568594462E-5
1.0E-11                  456                      1.7796555690098713E-5
1.0E-11                  457                      1.7611974040705563E-5
1.0E-11                  458                      1.7428819620414985E-5
1.0E-11                  459                      1.7247092429226995E-5
1.0E-11                  460                      1.7066792467141586E-5
1.0E-11                  461                      1.6887919734158773E-5
1.0E-11                  462                      1.671042579637666E-5
1.0E-11                  463                      1.6534293500584118E-5
1.0E-11                  464                      1.6359561954651524E-5
1.0E-11                  465                      1.618623115857889E-5
1.0E-11                  466                      1.6014301112366208E-5
1.0E-11                  467                      1.5843771816013492E-5
1.0E-11                  468                      1.5674643269520722E-5
1.0E-11                  469                      1.5506811105534124E-5
1.0E-11                  470                      1.5340343611820392E-5
1.0E-11                  471                      1.5175247143327087E-5
