% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      469                      4.803086169681282E-6
0.5                      470                      4.8059991682994005E-6
0.5                      471                      4.8089073311856606E-6
0.5                      472                      4.811810658339981E-6
0.5                      473                      4.814709149762687E-6
0.5                      474                      4.817602805453399E-6
0.5                      475                      4.8204916254124155E-6
0.5                      476                      4.8233756096395465E-6
0.5                      477                      4.826254758134873E-6
0.5                      478                      4.829129070898098E-6
0.5                      479                      4.8319985479298435E-6
0.5                      480                      4.834863189229568E-6
0.5                      481                      4.837722994797462E-6
0.5                      482                      4.840577964633578E-6
0.5                      483                      4.8434280987379446E-6
0.5                      484                      4.846273397110182E-6
0.5                      485                      4.849113859750886E-6
0.5                      486                      4.85194948665965E-6
0.5                      487                      4.854780277836475E-6
0.5                      488                      4.8576062332815494E-6
0.5                      489                      4.860427352994901E-6
0.5                      490                      4.863243636976368E-6
0.5                      491                      4.866055085225813E-6
0.5                      492                      4.8688616977436445E-6
0.5                      493                      4.871663474529536E-6
0.5                      494                      4.874460415583623E-6
0.5                      495                      4.877252520905879E-6
0.5                      496                      4.880039790496277E-6
0.5                      497                      4.882822224354789E-6
0.5                      498                      4.8855998224815245E-6
0.5                      499                      4.888372584876456E-6
0.5                      500                      4.891140511539583E-6
0.5                      501                      4.893903602470851E-6
0.5                      502                      4.896661857670153E-6
0.5                      503                      4.899415277137786E-6
0.5                      504                      4.902163860873453E-6
0.5                      505                      4.9049076088773964E-6
0.5                      506                      4.907646521149455E-6
0.5                      507                      4.910380597689682E-6
0.5                      508                      4.913109838497996E-6
0.5                      509                      4.915834243574588E-6
0.5                      510                      4.918553812919294E-6
0.5                      511                      4.921268546532277E-6
0.5                      512                      4.923978444413239E-6
0.5                      513                      4.926683506562479E-6
0.5                      514                      4.929383732979779E-6
0.5                      515                      4.932079123665491E-6
0.5                      516                      4.9347696786190744E-6
0.5                      517                      4.937455397841097E-6
0.5                      518                      4.940136281331045E-6
0.5                      519                      4.94281232908927E-6
0.5                      520                      4.94548354111561E-6
0.5                      521                      4.9481499174102805E-6
0.5                      522                      4.9508114579729576E-6
0.5                      523                      4.9534681628038305E-6
0.5                      524                      4.956120031902764E-6
0.5                      525                      4.95876706527011E-6
0.5                      526                      4.961409262905462E-6
0.5                      527                      4.964046624808955E-6
0.5                      528                      4.966679150980645E-6
0.5                      529                      4.96930684142053E-6
0.5                      530                      4.9719296961285575E-6
0.5                      531                      4.9745477151047805E-6
0.5                      532                      4.9771608983492535E-6
0.5                      533                      4.9797692458616784E-6
0.5                      534                      4.982372757642381E-6
0.5                      535                      4.984971433691197E-6
0.5                      536                      4.987565274008318E-6
0.5                      537                      4.990154278593283E-6
0.5                      538                      4.992738447446904E-6
0.5                      539                      4.9953177805683955E-6
0.5                      540                      4.997892277957866E-6
0.5                      541                      5.0004781602734606E-6
0.5                      542                      5.00306865153989E-6
0.5                      543                      5.005654879542884E-6
0.5                      544                      5.008236844282363E-6
0.5                      545                      5.010814545758298E-6
0.5                      546                      5.013387983970825E-6
0.5                      547                      5.015957158919891E-6
0.5                      548                      5.018522070605468E-6
0.5                      549                      5.021082719027474E-6
0.5                      550                      5.0236391041859915E-6
0.5                      551                      5.0261912260811555E-6
0.5                      552                      5.028739084712668E-6
0.5                      553                      5.031282680080854E-6
0.5                      554                      5.033822012185497E-6
0.5                      555                      5.036357081026596E-6
0.5                      556                      5.038887886604315E-6
0.5                      557                      5.04141442891841E-6
0.5                      558                      5.043936707969178E-6
0.5                      559                      5.046454723756213E-6
0.5                      560                      5.0489684762800035E-6
0.5                      561                      5.051477965540305E-6
0.5                      562                      5.0539831915369544E-6
0.5                      563                      5.056484154270305E-6
0.5                      564                      5.058980853740058E-6
0.5                      565                      5.061473289946349E-6
0.5                      566                      5.063961462889097E-6
