% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  370                      1.9952082990819394E-4
1.0E-14                  371                      1.9979235007669733E-4
1.0E-14                  372                      2.0006345237252063E-4
1.0E-14                  373                      2.0033413679566446E-4
1.0E-14                  374                      2.0060440334612834E-4
1.0E-14                  375                      2.0087425202391243E-4
1.0E-14                  376                      2.011436828290169E-4
1.0E-14                  377                      2.0141269576144145E-4
1.0E-14                  378                      2.0168129082118636E-4
1.0E-14                  379                      2.019494680082515E-4
1.0E-14                  380                      2.022172273226368E-4
1.0E-14                  381                      2.024845687643425E-4
1.0E-14                  382                      2.0275149233336826E-4
1.0E-14                  383                      2.030179980297143E-4
1.0E-14                  384                      2.0328408585338058E-4
1.0E-14                  385                      2.035497558043671E-4
1.0E-14                  386                      2.0381500788267388E-4
1.0E-14                  387                      2.0407984208830086E-4
1.0E-14                  388                      2.0434425842124813E-4
1.0E-14                  389                      2.0460825688151552E-4
1.0E-14                  390                      2.048718374691032E-4
1.0E-14                  391                      2.0513500018401112E-4
1.0E-14                  392                      2.053977450262393E-4
1.0E-14                  393                      2.0566007199578773E-4
1.0E-14                  394                      2.0592198109265633E-4
1.0E-14                  395                      2.0618347231684511E-4
1.0E-14                  396                      2.0644454566835438E-4
1.0E-14                  397                      2.0670520114718371E-4
1.0E-14                  398                      2.0696543875333323E-4
1.0E-14                  399                      2.0722525848680304E-4
1.0E-14                  400                      2.074846603475931E-4
1.0E-14                  401                      2.0774364433570337E-4
1.0E-14                  402                      2.0800221045113386E-4
1.0E-14                  403                      2.0826035869388464E-4
1.0E-14                  404                      2.0851808906395552E-4
1.0E-14                  405                      2.0877540156134686E-4
1.0E-14                  406                      2.0903229618605826E-4
1.0E-14                  407                      2.092887729380899E-4
1.0E-14                  408                      2.095459066120393E-4
1.0E-14                  409                      2.0980499313468111E-4
