% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  411                      4.219529512865272E-6
1.0E-12                  412                      4.223374216494303E-6
1.0E-12                  413                      4.2272119425163245E-6
1.0E-12                  414                      4.231042690931892E-6
1.0E-12                  415                      4.234866461740478E-6
1.0E-12                  416                      4.23868325494219E-6
1.0E-12                  417                      4.242493070537258E-6
1.0E-12                  418                      4.246295908525398E-6
1.0E-12                  419                      4.250091768906908E-6
1.0E-12                  420                      4.2538806516816526E-6
1.0E-12                  421                      4.257662556849388E-6
1.0E-12                  422                      4.261437484410493E-6
1.0E-12                  423                      4.265205434364819E-6
1.0E-12                  424                      4.268966406712515E-6
1.0E-12                  425                      4.272720401453026E-6
1.0E-12                  426                      4.276467418587042E-6
1.0E-12                  427                      4.280207458114252E-6
1.0E-12                  428                      4.283940520034615E-6
1.0E-12                  429                      4.287666604348253E-6
1.0E-12                  430                      4.291385711055072E-6
1.0E-12                  431                      4.295097840155152E-6
1.0E-12                  432                      4.298802991648359E-6
1.0E-12                  433                      4.302501165534732E-6
1.0E-12                  434                      4.306192361814407E-6
1.0E-12                  435                      4.309876580487371E-6
1.0E-12                  436                      4.313553821553258E-6
1.0E-12                  437                      4.317224085012691E-6
1.0E-12                  438                      4.320887370865318E-6
1.0E-12                  439                      4.324543679111071E-6
1.0E-12                  440                      4.32819300974995E-6
1.0E-12                  441                      4.331835362782172E-6
1.0E-12                  442                      4.335470738207534E-6
1.0E-12                  443                      4.339099136026198E-6
1.0E-12                  444                      4.3427205562380285E-6
1.0E-12                  445                      4.346334998842904E-6
1.0E-12                  446                      4.349942463841163E-6
1.0E-12                  447                      4.3535429512326295E-6
1.0E-12                  448                      4.357136461017263E-6
1.0E-12                  449                      4.360722993195334E-6
1.0E-12                  450                      4.364302547766382E-6
1.0E-12                  451                      4.367875124730732E-6
1.0E-12                  452                      4.3714407240881136E-6
1.0E-12                  453                      4.374999345839014E-6
1.0E-12                  454                      4.378550989982973E-6
1.0E-12                  455                      4.382095656519963E-6
1.0E-12                  456                      4.3856333454504455E-6
1.0E-12                  457                      4.389164056774013E-6
1.0E-12                  458                      4.39268779049091E-6
1.0E-12                  459                      4.396204546600865E-6
1.0E-12                  460                      4.39971432510415E-6
1.0E-12                  461                      4.4032171260006015E-6
1.0E-12                  462                      4.406726484543623E-6
1.0E-12                  463                      4.410231900087207E-6
1.0E-12                  464                      4.413730959933708E-6
1.0E-12                  465                      4.417223664083235E-6
1.0E-12                  466                      4.420710012535543E-6
1.0E-12                  467                      4.424190005290795E-6
1.0E-12                  468                      4.427663642348883E-6
1.0E-12                  469                      4.431130923709915E-6
1.0E-12                  470                      4.434591849373782E-6
