% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 0 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-10                  517                      6.768998612206802E-6
1.0E-10                  518                      6.7690301601693135E-6
1.0E-10                  519                      6.76906127966109E-6
1.0E-10                  520                      6.769091970682212E-6
1.0E-10                  521                      6.7691222332326255E-6
1.0E-10                  522                      6.769152067312331E-6
1.0E-10                  523                      6.769181472921328E-6
1.0E-10                  524                      6.769210450059698E-6
1.0E-10                  525                      6.769238998727305E-6
1.0E-10                  526                      6.769267118924286E-6
1.0E-10                  527                      6.769294810650531E-6
1.0E-10                  528                      6.769322707526448E-6
1.0E-10                  529                      6.769351337207078E-6
1.0E-10                  530                      6.769379654187973E-6
1.0E-10                  531                      6.76940765846924E-6
1.0E-10                  532                      6.769435350050771E-6
1.0E-10                  533                      6.769462728932674E-6
1.0E-10                  534                      6.769489795114842E-6
1.0E-10                  535                      6.769516548597328E-6
1.0E-10                  536                      6.7695429893801324E-6
1.0E-10                  537                      6.769569117463255E-6
1.0E-10                  538                      6.769594932846642E-6
1.0E-10                  539                      6.769620435530401E-6
1.0E-10                  540                      6.769645625514506E-6
1.0E-10                  541                      6.76967050279882E-6
1.0E-10                  542                      6.7696950673835075E-6
1.0E-10                  543                      6.769719319268486E-6
1.0E-10                  544                      6.7697432584538095E-6
1.0E-10                  545                      6.76976688493937E-6
1.0E-10                  546                      6.7697901987253035E-6
1.0E-10                  547                      6.769813199811528E-6
1.0E-10                  548                      6.769835888198071E-6
1.0E-10                  549                      6.769858263884932E-6
1.0E-10                  550                      6.769880326872111E-6
1.0E-10                  551                      6.769902077159582E-6
1.0E-10                  552                      6.769923514747371E-6
1.0E-10                  553                      6.769944639635424E-6
1.0E-10                  554                      6.7699654518238765E-6
1.0E-10                  555                      6.769985951312593E-6
1.0E-10                  556                      6.770006138101655E-6
1.0E-10                  557                      6.770026137692235E-6
1.0E-10                  558                      6.770046997544438E-6
1.0E-10                  559                      6.770067629926932E-6
1.0E-10                  560                      6.770088034839826E-6
1.0E-10                  561                      6.770108212283038E-6
1.0E-10                  562                      6.770128162256623E-6
1.0E-10                  563                      6.7701478847605266E-6
1.0E-10                  564                      6.77016737979483E-6
1.0E-10                  565                      6.7701866473594515E-6
1.0E-10                  566                      6.770205687454473E-6
1.0E-10                  567                      6.770224500079813E-6
1.0E-10                  568                      6.7702430852355255E-6
1.0E-10                  569                      6.770261442921584E-6
1.0E-10                  570                      6.770279573138014E-6
1.0E-10                  571                      6.7702974758847366E-6
1.0E-10                  572                      6.7703151511618585E-6
1.0E-10                  573                      6.77033259896938E-6
1.0E-10                  574                      6.770349819307193E-6
1.0E-10                  575                      6.770366812175352E-6
1.0E-10                  576                      6.770383577573883E-6
1.0E-10                  577                      6.770400115502814E-6
1.0E-10                  578                      6.770416425962009E-6
1.0E-10                  579                      6.7704325089516315E-6
1.0E-10                  580                      6.770448364471545E-6
1.0E-10                  581                      6.7704639925218854E-6
1.0E-10                  582                      6.770479393102517E-6
1.0E-10                  583                      6.770494566213576E-6
1.0E-10                  584                      6.770509511854899E-6
1.0E-10                  585                      6.770524230026648E-6
1.0E-10                  586                      6.770538720728744E-6
1.0E-10                  587                      6.77055376162975E-6
1.0E-10                  588                      6.77056878987649E-6
1.0E-10                  589                      6.7705836528169315E-6
1.0E-10                  590                      6.770598350451019E-6
1.0E-10                  591                      6.7706128827786985E-6
1.0E-10                  592                      6.770627249800106E-6
1.0E-10                  593                      6.770641451515186E-6
1.0E-10                  594                      6.77065548792394E-6
1.0E-10                  595                      6.770669359026341E-6
1.0E-10                  596                      6.7706830648223875E-6
